7.45 Mbits/sec   3.857 ms    0/ 6368 (0%) 74.256/ 5.801/179.751/24.036 ms  633 pps
13.0 Mbits/sec   0.112 ms    0/11056 (0%)  3.895/ 3.572/ 8.268/ 0.169 ms 1105 pps
11.0 Mbits/sec   0.122 ms    0/ 9355 (0%)  3.894/ 3.589/ 7.354/ 0.149 ms  935 pps
7.00 Mbits/sec   0.102 ms    0/ 5954 (0%)  3.889/ 3.584/10.861/ 0.242 ms  595 pps
11.0 Mbits/sec   0.088 ms    0/ 9355 (0%)  3.957/ 3.605/10.874/ 0.336 ms  935 pps
11.0 Mbits/sec   0.117 ms    0/ 9355 (0%)  3.923/ 3.603/ 8.485/ 0.190 ms  935 pps
9.00 Mbits/sec   0.067 ms    0/ 7654 (0%)  3.922/ 3.611/ 8.659/ 0.183 ms  765 pps
4.00 Mbits/sec   0.095 ms    0/ 3403 (0%)  3.948/ 3.658/10.218/ 0.229 ms  340 pps
9.00 Mbits/sec   0.098 ms    0/ 7654 (0%)  3.906/ 3.630/ 5.430/ 0.112 ms  765 pps
11.0 Mbits/sec   0.108 ms    0/ 9355 (0%)  3.911/ 3.622/ 9.948/ 0.198 ms  935 pps
11.0 Mbits/sec   0.085 ms    0/ 9355 (0%)  3.942/ 3.628/ 9.519/ 0.195 ms  935 pps
8.00 Mbits/sec   0.505 ms    0/ 6804 (0%)  3.921/ 3.668/ 8.937/ 0.178 ms  680 pps
6.00 Mbits/sec   0.139 ms    0/ 5103 (0%)  3.941/ 3.646/ 7.628/ 0.148 ms  510 pps
8.00 Mbits/sec   0.127 ms    0/ 6804 (0%)  3.966/ 3.654/ 8.181/ 0.167 ms  680 pps
8.00 Mbits/sec   0.150 ms    0/ 6804 (0%)  4.047/ 3.685/11.210/ 0.334 ms  680 pps
8.00 Mbits/sec   0.132 ms    0/ 6804 (0%)  3.968/ 3.687/ 7.907/ 0.157 ms  680 pps
6.00 Mbits/sec   0.135 ms    0/ 5103 (0%)  3.977/ 3.697/10.118/ 0.235 ms  510 pps
9.00 Mbits/sec   0.094 ms    0/ 7655 (0%)  3.931/ 3.602/11.127/ 0.250 ms  765 pps
8.00 Mbits/sec   0.116 ms    0/ 6804 (0%)  3.794/ 3.475/13.436/ 0.298 ms  680 pps
8.00 Mbits/sec   0.105 ms    0/ 6804 (0%)  3.678/ 3.360/ 7.147/ 0.166 ms  680 pps
9.00 Mbits/sec   0.179 ms    0/ 7655 (0%)  3.532/ 3.272/ 9.231/ 0.174 ms  765 pps
9.00 Mbits/sec   0.134 ms    0/ 7654 (0%)  3.367/ 3.063/ 5.898/ 0.130 ms  765 pps
10.0 Mbits/sec   0.104 ms    0/ 8505 (0%)  3.253/ 2.945/ 6.532/ 0.144 ms  850 pps
10.0 Mbits/sec   0.128 ms    0/ 8505 (0%)  3.148/ 2.843/ 6.930/ 0.164 ms  850 pps
