10.0 Mbits/sec   0.083 ms    0/ 8505 (0%) -2.743/-3.004/ 3.789/ 0.162 ms  850 pps
10.0 Mbits/sec   0.079 ms    0/ 8505 (0%) -2.700/-2.952/ 3.863/ 0.192 ms  850 pps
11.0 Mbits/sec   0.073 ms    0/ 9355 (0%) -2.652/-2.965/ 6.347/ 0.220 ms  935 pps
5.00 Mbits/sec   0.117 ms    0/ 4253 (0%) -2.652/-2.915/ 0.098/ 0.142 ms  425 pps
8.00 Mbits/sec   0.255 ms    0/ 6804 (0%) -2.637/-2.896/-0.837/ 0.118 ms  680 pps
10.0 Mbits/sec   0.146 ms    0/ 8505 (0%) -2.623/-2.891/ 0.639/ 0.118 ms  850 pps
8.00 Mbits/sec   0.079 ms    0/ 6804 (0%) -2.576/-2.874/ 2.690/ 0.177 ms  680 pps
6.00 Mbits/sec   0.195 ms    0/ 5103 (0%) -2.571/-2.859/ 4.780/ 0.241 ms  510 pps
8.00 Mbits/sec   0.126 ms    0/ 6804 (0%) -2.547/-2.837/ 0.908/ 0.161 ms  680 pps
7.00 Mbits/sec   0.131 ms    0/ 5954 (0%) -2.520/-2.835/ 1.317/ 0.134 ms  595 pps
7.00 Mbits/sec   0.115 ms    0/ 5954 (0%) -2.524/-2.798/ 4.774/ 0.195 ms  595 pps
6.00 Mbits/sec   0.113 ms    0/ 5103 (0%) -2.499/-2.785/ 0.889/ 0.119 ms  510 pps
10.0 Mbits/sec   0.119 ms    0/ 8505 (0%) -2.480/-2.770/ 1.388/ 0.129 ms  850 pps
6.00 Mbits/sec   0.153 ms    0/ 5103 (0%) -2.445/-2.733/ 0.448/ 0.152 ms  510 pps
8.00 Mbits/sec   0.107 ms    0/ 6804 (0%) -2.394/-2.711/12.785/ 0.486 ms  680 pps
7.00 Mbits/sec   0.094 ms    0/ 5954 (0%) -2.416/-2.688/ 0.571/ 0.137 ms  595 pps
11.0 Mbits/sec   0.120 ms    0/ 9355 (0%) -2.422/-2.690/ 0.890/ 0.140 ms  935 pps
3.00 Mbits/sec   0.096 ms    0/ 2552 (0%) -2.421/-2.652/-0.188/ 0.149 ms  255 pps
9.00 Mbits/sec   0.094 ms    0/ 7655 (0%) -2.391/-2.683/ 1.343/ 0.141 ms  765 pps
12.0 Mbits/sec   0.081 ms    0/10205 (0%) -2.368/-2.645/ 3.181/ 0.235 ms 1020 pps
12.0 Mbits/sec   0.123 ms    0/10206 (0%) -2.351/-2.651/ 3.246/ 0.212 ms 1020 pps
8.00 Mbits/sec   0.150 ms    0/ 6804 (0%) -2.331/-2.629/ 0.925/ 0.138 ms  680 pps
10.0 Mbits/sec   0.097 ms    0/ 8505 (0%) -2.345/-2.620/ 0.686/ 0.129 ms  850 pps
10.0 Mbits/sec   0.103 ms    0/ 8505 (0%) -2.304/-2.608/ 6.343/ 0.209 ms  850 pps
7.00 Mbits/sec   0.106 ms    0/ 5954 (0%) -2.261/-2.575/ 2.502/ 0.155 ms  595 pps
