8.57 Mbits/sec   1.022 ms    0/ 7295 (0%) 67.441/15.089/165.277/27.961 ms  728 pps
6.00 Mbits/sec   0.132 ms    0/ 5104 (0%)  3.759/ 3.462/12.766/ 0.241 ms  510 pps
7.00 Mbits/sec   0.134 ms    0/ 5954 (0%)  3.790/ 3.477/ 7.300/ 0.159 ms  595 pps
9.00 Mbits/sec   0.157 ms    0/ 7654 (0%)  3.760/ 3.467/ 8.104/ 0.186 ms  765 pps
14.0 Mbits/sec   0.104 ms    0/11906 (0%)  3.799/ 3.479/ 9.986/ 0.234 ms 1190 pps
10.0 Mbits/sec   0.098 ms    0/ 8505 (0%)  3.819/ 3.517/ 9.290/ 0.243 ms  850 pps
11.0 Mbits/sec   0.124 ms    0/ 9355 (0%)  3.808/ 3.486/ 9.293/ 0.201 ms  935 pps
6.00 Mbits/sec   0.132 ms    0/ 5103 (0%)  3.779/ 3.532/ 7.374/ 0.120 ms  510 pps
12.0 Mbits/sec   0.139 ms    0/10205 (0%)  3.828/ 3.513/ 8.275/ 0.162 ms 1020 pps
8.00 Mbits/sec   0.116 ms    0/ 6804 (0%)  3.846/ 3.533/ 7.848/ 0.154 ms  680 pps
7.00 Mbits/sec   0.111 ms    0/ 5954 (0%)  3.867/ 3.546/ 9.121/ 0.178 ms  595 pps
11.0 Mbits/sec   0.144 ms    0/ 9355 (0%)  3.839/ 3.520/ 7.516/ 0.149 ms  935 pps
10.0 Mbits/sec   0.087 ms    0/ 8505 (0%)  3.901/ 3.552/12.938/ 0.365 ms  850 pps
6.00 Mbits/sec   0.095 ms    0/ 5104 (0%)  3.931/ 3.555/10.710/ 0.246 ms  510 pps
3.00 Mbits/sec   0.176 ms    0/ 2552 (0%)  4.028/ 3.599/12.072/ 0.265 ms  255 pps
7.00 Mbits/sec   0.129 ms    0/ 5954 (0%)  3.888/ 3.576/ 7.782/ 0.156 ms  595 pps
10.0 Mbits/sec   0.133 ms    0/ 8505 (0%)  3.902/ 3.579/ 6.513/ 0.182 ms  850 pps
10.0 Mbits/sec   0.084 ms    0/ 8505 (0%)  3.916/ 3.587/ 7.299/ 0.151 ms  850 pps
10.0 Mbits/sec   0.106 ms    0/ 8505 (0%)  3.930/ 3.584/15.253/ 0.365 ms  850 pps
9.00 Mbits/sec   0.112 ms    0/ 7654 (0%)  3.953/ 3.604/11.412/ 0.363 ms  765 pps
10.0 Mbits/sec   0.083 ms    0/ 8505 (0%)  3.926/ 3.600/ 7.988/ 0.172 ms  850 pps
10.0 Mbits/sec   0.142 ms    0/ 8505 (0%)  3.891/ 3.635/ 7.564/ 0.159 ms  850 pps
10.0 Mbits/sec   0.146 ms    0/ 8505 (0%)  3.922/ 3.628/10.696/ 0.232 ms  850 pps
8.00 Mbits/sec   0.099 ms    0/ 6804 (0%)  3.923/ 3.622/ 8.146/ 0.153 ms  680 pps
9.00 Mbits/sec   0.096 ms    0/ 7655 (0%)  3.960/ 3.640/10.356/ 0.328 ms  765 pps
8.00 Mbits/sec   0.121 ms    0/ 6804 (0%)  3.957/ 3.629/ 8.982/ 0.197 ms  680 pps
8.00 Mbits/sec   0.128 ms    0/ 6804 (0%)  3.902/ 3.651/ 7.522/ 0.132 ms  680 pps
6.00 Mbits/sec   0.066 ms    0/ 5104 (0%)  4.055/ 3.654/ 6.707/ 0.162 ms  510 pps
9.00 Mbits/sec   0.081 ms    0/ 7655 (0%)  3.954/ 3.653/ 8.166/ 0.171 ms  765 pps
9.00 Mbits/sec   0.153 ms    0/ 7654 (0%)  4.006/ 3.673/13.593/ 0.373 ms  765 pps
10.0 Mbits/sec   0.119 ms    0/ 8505 (0%)  3.983/ 3.676/12.714/ 0.277 ms  850 pps
9.00 Mbits/sec   0.157 ms    0/ 7655 (0%)  4.026/ 3.683/ 8.899/ 0.184 ms  765 pps
10.0 Mbits/sec   0.101 ms    0/ 8505 (0%)  3.900/ 3.599/11.058/ 0.257 ms  850 pps
7.00 Mbits/sec   0.178 ms    0/ 5954 (0%)  3.812/ 3.487/12.890/ 0.282 ms  595 pps
6.00 Mbits/sec   0.133 ms    0/ 5103 (0%)  3.695/ 3.398/10.543/ 0.198 ms  510 pps
9.00 Mbits/sec   0.083 ms    0/ 7654 (0%)  3.581/ 3.227/13.026/ 0.316 ms  765 pps
7.00 Mbits/sec   0.131 ms    0/ 5954 (0%)  3.365/ 3.044/ 4.655/ 0.142 ms  595 pps
8.00 Mbits/sec   0.079 ms    0/ 6804 (0%)  3.252/ 2.972/ 9.944/ 0.176 ms  680 pps
8.00 Mbits/sec   0.063 ms    0/ 6804 (0%)  3.127/ 2.870/ 7.046/ 0.171 ms  680 pps
6.00 Mbits/sec   0.123 ms    0/ 5104 (0%)  3.054/ 2.721/ 9.134/ 0.254 ms  510 pps
7.00 Mbits/sec   0.145 ms    0/ 5954 (0%)  2.984/ 2.618/10.592/ 0.313 ms  595 pps
9.00 Mbits/sec   0.179 ms    0/ 7654 (0%)  2.874/ 2.528/11.386/ 0.309 ms  765 pps
10.0 Mbits/sec   0.127 ms    0/ 8505 (0%)  2.701/ 2.390/ 9.358/ 0.194 ms  850 pps
