9.00 Mbits/sec   0.150 ms    0/ 7655 (0%) 512.701/512.056/519.344/ 5.865 ms  765 pps
7.00 Mbits/sec   0.131 ms    0/ 5954 (0%) 514.598/514.007/517.955/ 6.669 ms  595 pps
9.00 Mbits/sec   0.142 ms    0/ 7655 (0%) 515.952/515.377/517.207/ 5.897 ms  765 pps
9.00 Mbits/sec   0.110 ms    0/ 7655 (0%) 517.546/516.907/526.689/ 5.926 ms  765 pps
11.0 Mbits/sec   0.124 ms    0/ 9355 (0%) 518.887/518.234/526.014/ 5.381 ms  935 pps
8.00 Mbits/sec   0.144 ms    0/ 6804 (0%) 520.778/520.217/522.710/ 6.315 ms  680 pps
6.00 Mbits/sec   0.108 ms    0/ 5104 (0%) 522.049/521.435/526.423/ 7.305 ms  510 pps
7.00 Mbits/sec   0.094 ms    0/ 5954 (0%) 523.324/522.708/527.826/ 6.786 ms  595 pps
12.0 Mbits/sec   0.092 ms    0/10206 (0%) 524.604/523.981/529.015/ 5.196 ms 1020 pps
8.00 Mbits/sec   0.085 ms    0/ 6804 (0%) 525.820/525.247/530.946/ 6.375 ms  680 pps
10.0 Mbits/sec   0.503 ms    0/ 8505 (0%) 527.115/526.473/538.351/ 5.723 ms  850 pps
7.00 Mbits/sec   0.133 ms    0/ 5954 (0%) 529.056/528.493/533.505/ 6.856 ms  595 pps
9.00 Mbits/sec   0.113 ms    0/ 7655 (0%) 530.357/529.767/536.802/ 6.063 ms  765 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%) 531.535/530.963/535.512/ 6.446 ms  680 pps
9.00 Mbits/sec   0.143 ms    0/ 7655 (0%) 532.739/532.131/535.244/ 6.089 ms  765 pps
6.00 Mbits/sec   0.496 ms    0/ 5104 (0%) 534.017/533.413/538.424/ 7.476 ms  510 pps
9.00 Mbits/sec   0.072 ms    0/ 7655 (0%) 535.264/534.684/539.599/ 6.119 ms  765 pps
7.00 Mbits/sec   0.129 ms    0/ 5954 (0%) 537.226/536.688/542.091/ 6.962 ms  595 pps
10.0 Mbits/sec   0.119 ms    0/ 8505 (0%) 538.413/537.834/540.757/ 5.840 ms  850 pps
9.00 Mbits/sec   0.131 ms    0/ 7655 (0%) 539.760/539.117/544.610/ 6.172 ms  765 pps
11.0 Mbits/sec   0.120 ms    0/ 9355 (0%) 540.977/540.335/544.377/ 5.595 ms  935 pps
14.0 Mbits/sec   0.124 ms    0/11906 (0%) 542.264/541.673/546.989/ 4.974 ms 1190 pps
11.0 Mbits/sec   0.614 ms    0/ 9355 (0%) 543.473/542.895/548.794/ 5.621 ms  935 pps
