9.00 Mbits/sec   0.081 ms    0/ 7655 (0%) -466.706/-467.156/-464.025/ 5.341 ms  765 pps
7.00 Mbits/sec   0.058 ms    0/ 5954 (0%) -465.688/-466.149/-462.313/ 6.041 ms  595 pps
8.00 Mbits/sec   0.083 ms    0/ 6804 (0%) -464.701/-465.106/-462.608/ 5.640 ms  680 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) -463.626/-464.061/-460.555/ 5.306 ms  765 pps
9.00 Mbits/sec   0.115 ms    0/ 7655 (0%) -462.565/-462.994/-460.943/ 5.292 ms  765 pps
9.00 Mbits/sec   0.091 ms    0/ 7655 (0%) -461.531/-461.947/-460.285/ 5.281 ms  765 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) -459.982/-460.414/-458.015/ 5.263 ms  765 pps
7.00 Mbits/sec   0.085 ms    0/ 5954 (0%) -458.917/-459.346/-457.102/ 5.954 ms  595 pps
11.0 Mbits/sec   0.101 ms    0/ 9355 (0%) -457.913/-458.355/-450.758/ 4.741 ms  935 pps
5.00 Mbits/sec   0.087 ms    0/ 4253 (0%) -456.893/-457.289/-455.199/ 7.012 ms  425 pps
9.00 Mbits/sec   0.140 ms    0/ 7655 (0%) -455.888/-456.305/-453.580/ 5.215 ms  765 pps
10.0 Mbits/sec   0.081 ms    0/ 8505 (0%) -454.864/-455.325/-452.370/ 4.937 ms  850 pps
7.00 Mbits/sec   0.082 ms    0/ 5954 (0%) -453.351/-453.792/-452.305/ 5.880 ms  595 pps
6.00 Mbits/sec   0.113 ms    0/ 5104 (0%) -452.329/-452.718/-451.564/ 6.336 ms  510 pps
7.00 Mbits/sec   0.068 ms    0/ 5954 (0%) -451.302/-451.746/-448.874/ 5.855 ms  595 pps
10.0 Mbits/sec   0.118 ms    0/ 8505 (0%) -450.274/-450.738/-447.912/ 4.888 ms  850 pps
5.00 Mbits/sec   0.097 ms    0/ 4253 (0%) -449.268/-449.677/-447.902/ 6.898 ms  425 pps
5.00 Mbits/sec   0.074 ms    0/ 4253 (0%) -448.199/-448.601/-446.599/ 6.879 ms  425 pps
8.00 Mbits/sec   0.087 ms    0/ 6804 (0%) -446.656/-447.079/-445.238/ 5.422 ms  680 pps
9.00 Mbits/sec   0.059 ms    0/ 7655 (0%) -445.649/-446.083/-443.849/ 5.100 ms  765 pps
6.00 Mbits/sec   0.061 ms    0/ 5103 (0%) -444.633/-445.009/-442.607/ 6.230 ms  510 pps
7.00 Mbits/sec   0.106 ms    0/ 5954 (0%) -443.620/-444.028/-441.910/ 5.757 ms  595 pps
4.00 Mbits/sec   0.079 ms    0/ 3403 (0%) -442.532/-442.991/-441.329/ 7.593 ms  340 pps
11.0 Mbits/sec   0.099 ms    0/ 9355 (0%) -441.559/-442.031/-439.435/ 4.571 ms  935 pps
