14.0 Mbits/sec   0.097 ms    0/11906 (0%) 16.835/16.510/22.027/ 0.240 ms 1190 pps
8.00 Mbits/sec   0.095 ms    0/ 6804 (0%) 17.011/16.604/26.312/ 0.505 ms  680 pps
11.0 Mbits/sec   0.121 ms    0/ 9355 (0%) 16.958/16.646/22.251/ 0.243 ms  935 pps
9.00 Mbits/sec   0.153 ms    0/ 7654 (0%) 17.102/16.789/24.252/ 0.400 ms  765 pps
7.00 Mbits/sec   0.137 ms    0/ 5954 (0%) 17.154/16.831/21.274/ 0.290 ms  595 pps
8.00 Mbits/sec   0.115 ms    0/ 6804 (0%) 17.311/16.954/20.625/ 0.267 ms  680 pps
8.00 Mbits/sec   0.131 ms    0/ 6804 (0%) 17.385/17.030/22.321/ 0.271 ms  680 pps
8.00 Mbits/sec   0.228 ms    0/ 6804 (0%) 17.462/17.097/22.048/ 0.316 ms  680 pps
7.00 Mbits/sec   0.106 ms    0/ 5952 (0%) 17.515/17.209/24.667/ 0.290 ms  595 pps
8.00 Mbits/sec   0.136 ms    0/ 6804 (0%) 17.597/17.295/21.616/ 0.262 ms  680 pps
8.00 Mbits/sec   0.125 ms    0/ 6804 (0%) 17.643/17.343/20.948/ 0.260 ms  680 pps
10.0 Mbits/sec   0.108 ms    0/ 8505 (0%) 17.819/17.418/24.494/ 0.325 ms  850 pps
10.0 Mbits/sec   0.141 ms    0/ 8505 (0%) 17.829/17.492/21.052/ 0.236 ms  850 pps
9.00 Mbits/sec   0.109 ms    0/ 7654 (0%) 17.929/17.598/24.709/ 0.325 ms  765 pps
8.00 Mbits/sec   0.124 ms    0/ 6804 (0%) 18.029/17.711/24.581/ 0.312 ms  680 pps
9.00 Mbits/sec   0.083 ms    0/ 7654 (0%) 18.122/17.786/25.009/ 0.446 ms  765 pps
9.00 Mbits/sec   0.100 ms    0/ 7654 (0%) 18.157/17.857/22.104/ 0.269 ms  765 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%) 18.284/17.938/22.557/ 0.308 ms  680 pps
13.0 Mbits/sec   0.103 ms    0/11056 (0%) 18.315/17.987/23.187/ 0.267 ms 1105 pps
5.00 Mbits/sec   0.087 ms    0/ 4253 (0%) 18.384/18.067/22.487/ 0.331 ms  425 pps
12.0 Mbits/sec   0.096 ms    0/10205 (0%) 18.566/18.213/25.322/ 0.399 ms 1020 pps
9.00 Mbits/sec   0.109 ms    0/ 7654 (0%) 18.579/18.291/23.810/ 0.278 ms  765 pps
9.00 Mbits/sec   0.117 ms    0/ 7654 (0%) 18.663/18.314/25.807/ 0.338 ms  765 pps
9.00 Mbits/sec   0.089 ms    0/ 7654 (0%) 18.858/18.467/28.003/ 0.405 ms  765 pps
8.00 Mbits/sec   0.143 ms    0/ 6804 (0%) 18.846/18.488/23.419/ 0.308 ms  680 pps
6.00 Mbits/sec   0.090 ms    0/ 5103 (0%) 18.918/18.608/25.438/ 0.354 ms  510 pps
8.00 Mbits/sec   0.148 ms    0/ 6804 (0%) 19.029/18.673/24.825/ 0.304 ms  680 pps
9.00 Mbits/sec   0.111 ms    0/ 7654 (0%) 20.648/18.790/30.339/ 1.826 ms  765 pps
7.00 Mbits/sec   0.145 ms    0/ 5954 (0%) 19.238/18.875/25.001/ 0.396 ms  595 pps
10.0 Mbits/sec   0.160 ms    0/ 8505 (0%) 19.230/18.881/24.284/ 0.277 ms  850 pps
7.00 Mbits/sec   0.139 ms    0/ 5954 (0%) 19.335/19.010/25.990/ 0.328 ms  595 pps
13.0 Mbits/sec   0.098 ms    0/11056 (0%) 19.418/19.088/25.207/ 0.316 ms 1105 pps
6.00 Mbits/sec   0.112 ms    0/ 5103 (0%) 19.498/19.175/25.787/ 0.349 ms  510 pps
8.00 Mbits/sec   0.128 ms    0/ 6804 (0%) 19.627/19.302/23.273/ 0.285 ms  680 pps
9.00 Mbits/sec   0.111 ms    0/ 7654 (0%) 19.628/19.347/22.225/ 0.263 ms  765 pps
11.0 Mbits/sec   0.107 ms    0/ 9355 (0%) 19.715/19.423/27.451/ 0.287 ms  935 pps
7.00 Mbits/sec   0.106 ms    0/ 5954 (0%) 19.859/19.511/27.474/ 0.394 ms  595 pps
5.00 Mbits/sec   0.089 ms    0/ 4253 (0%) 19.896/19.597/21.866/ 0.332 ms  425 pps
8.00 Mbits/sec   0.106 ms    0/ 6804 (0%) 19.975/19.630/30.147/ 0.461 ms  680 pps
11.0 Mbits/sec   0.123 ms    0/ 9355 (0%) 20.024/19.663/24.474/ 0.287 ms  935 pps
9.00 Mbits/sec   0.174 ms    0/ 7654 (0%) 20.001/19.688/23.422/ 0.285 ms  765 pps
