13.0 Mbits/sec   0.078 ms    0/11056 (0%) 15.246/ 9.787/38.723/ 6.756 ms 1106 pps
8.95 Mbits/sec   1.551 ms    0/ 7654 (0%) 54.450/ 9.778/161.123/36.289 ms  760 pps
9.67 Mbits/sec   1.660 ms    0/ 8257 (0%) 54.197/ 9.680/185.572/40.797 ms  822 pps
3.98 Mbits/sec   2.896 ms    0/ 3403 (0%) 52.291/ 9.678/112.009/38.446 ms  338 pps
7.94 Mbits/sec   1.555 ms    0/ 6804 (0%) 50.919/ 9.608/131.642/42.412 ms  675 pps
8.99 Mbits/sec   0.233 ms    0/ 7654 (0%) 17.162/ 9.528/26.888/ 6.720 ms  764 pps
7.01 Mbits/sec   0.098 ms    0/ 5954 (0%) 31.810/ 9.432/153.407/36.912 ms  596 pps
8.88 Mbits/sec   7.371 ms    0/ 7641 (0%) 51.550/ 9.372/166.690/43.350 ms  754 pps
8.93 Mbits/sec   1.234 ms    0/ 7654 (0%) 66.841/ 9.361/124.518/38.421 ms  759 pps
7.97 Mbits/sec   1.711 ms    0/ 6804 (0%) 82.501/ 9.310/133.673/28.295 ms  678 pps
6.99 Mbits/sec   0.281 ms    0/ 5954 (0%) 54.769/ 9.255/128.271/37.837 ms  594 pps
8.94 Mbits/sec   1.148 ms    0/ 7654 (0%) 77.893/ 9.235/119.466/27.298 ms  759 pps
10.0 Mbits/sec   0.104 ms    0/ 8505 (0%)  9.879/ 9.059/22.363/ 2.736 ms  851 pps
8.99 Mbits/sec   1.132 ms    0/ 7654 (0%) 85.509/ 9.198/134.447/31.261 ms  764 pps
8.43 Mbits/sec   3.194 ms    0/ 7207 (0%) 72.571/ 8.993/150.052/32.013 ms  717 pps
7.99 Mbits/sec   0.234 ms    0/ 6803 (0%) 66.756/ 8.948/126.820/35.306 ms  679 pps
12.0 Mbits/sec   0.274 ms    0/10205 (0%) 57.668/ 8.935/197.199/30.951 ms 1019 pps
5.99 Mbits/sec   0.189 ms    0/ 5103 (0%) 59.844/ 8.897/104.948/34.315 ms  509 pps
