5.99 Mbits/sec   0.099 ms    0/ 5103 (0%) 25.084/ 5.677/128.896/30.814 ms  509 pps
8.00 Mbits/sec   0.064 ms    0/ 6804 (0%) 25.070/ 5.639/122.799/32.304 ms  680 pps
10.0 Mbits/sec   0.215 ms    0/ 8505 (0%) 30.608/ 5.702/165.536/31.888 ms  850 pps
11.0 Mbits/sec   0.317 ms    0/ 9355 (0%) 34.429/ 5.685/195.401/34.536 ms  934 pps
10.0 Mbits/sec   0.104 ms    0/ 8505 (0%) 32.786/ 5.671/182.518/35.446 ms  850 pps
10.0 Mbits/sec   0.279 ms    0/ 8504 (0%) 53.982/ 5.731/171.188/36.198 ms  850 pps
11.0 Mbits/sec   0.193 ms    0/ 9355 (0%) 43.821/ 5.668/154.250/33.335 ms  935 pps
11.0 Mbits/sec   0.093 ms    0/ 9355 (0%) 63.212/ 5.687/158.926/32.813 ms  935 pps
11.0 Mbits/sec   0.263 ms    0/ 9355 (0%) 49.845/ 6.582/189.972/29.583 ms  934 pps
12.0 Mbits/sec   0.189 ms    0/10205 (0%) 62.659/ 6.004/148.689/26.899 ms 1019 pps
9.00 Mbits/sec   0.171 ms    0/ 7654 (0%) 36.328/ 5.690/146.299/37.151 ms  765 pps
10.0 Mbits/sec   0.145 ms    0/ 8502 (0%) 38.575/ 5.719/192.123/34.491 ms  850 pps
8.01 Mbits/sec   0.111 ms    0/ 6804 (0%) 52.174/ 5.711/117.222/35.457 ms  681 pps
9.00 Mbits/sec   0.198 ms    0/ 7654 (0%) 26.455/ 5.726/118.200/33.337 ms  765 pps
8.99 Mbits/sec   0.145 ms    0/ 7654 (0%) 54.956/ 5.801/181.984/33.013 ms  764 pps
11.0 Mbits/sec   0.107 ms    0/ 9355 (0%) 52.039/ 5.721/160.814/28.809 ms  935 pps
11.9 Mbits/sec   3.032 ms    0/10139 (0%) 55.747/ 5.797/170.446/25.193 ms 1008 pps
7.99 Mbits/sec   0.217 ms    0/ 6804 (0%) 26.626/ 5.805/123.545/26.986 ms  679 pps
9.00 Mbits/sec   0.166 ms    0/ 7654 (0%)  6.253/ 5.725/15.462/ 0.549 ms  765 pps
