12.0 Mbits/sec   0.108 ms    0/10205 (0%) -/-/-/- ms 1020 pps
9.00 Mbits/sec   0.116 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.137 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.163 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.107 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.110 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.122 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.061 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
12.0 Mbits/sec   0.107 ms    0/10206 (0%) -/-/-/- ms 1020 pps
10.0 Mbits/sec   0.140 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.077 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.080 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.104 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.097 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
10.0 Mbits/sec   0.101 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.126 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
9.00 Mbits/sec   0.142 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.084 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
11.0 Mbits/sec   0.131 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
11.0 Mbits/sec   0.142 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
11.0 Mbits/sec   0.129 ms    0/ 9355 (0%) -/-/-/- ms  935 pps
8.00 Mbits/sec   0.096 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
10.0 Mbits/sec   0.081 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.144 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
9.00 Mbits/sec   0.066 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
8.00 Mbits/sec   0.141 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
9.00 Mbits/sec   0.106 ms    0/ 7654 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.109 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.102 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.130 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
9.00 Mbits/sec   0.108 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
9.00 Mbits/sec   0.120 ms    0/ 7655 (0%) -/-/-/- ms  765 pps
10.0 Mbits/sec   0.078 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
8.00 Mbits/sec   0.109 ms    0/ 6804 (0%) -/-/-/- ms  680 pps
10.0 Mbits/sec   0.072 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.094 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
10.0 Mbits/sec   0.056 ms    0/ 8505 (0%) -/-/-/- ms  850 pps
