7.00 Mbits/sec   0.094 ms    0/ 5954 (0%) -9.582/-9.833/-7.273/ 0.179 ms  595 pps
7.00 Mbits/sec   0.099 ms    0/ 5954 (0%) -9.552/-9.827/-0.404/ 0.296 ms  595 pps
8.00 Mbits/sec   0.132 ms    0/ 6804 (0%) -9.545/-9.827/-6.180/ 0.175 ms  680 pps
10.0 Mbits/sec   0.173 ms    0/ 8505 (0%) -9.542/-9.826/-5.529/ 0.176 ms  850 pps
8.00 Mbits/sec   0.152 ms    0/ 6804 (0%) -9.434/-9.807/ 8.998/ 0.765 ms  680 pps
8.00 Mbits/sec   0.273 ms    0/ 6804 (0%) -9.559/-9.841/-4.590/ 0.246 ms  680 pps
8.00 Mbits/sec   0.136 ms    0/ 6804 (0%) -9.555/-9.849/-1.871/ 0.299 ms  680 pps
7.00 Mbits/sec   0.085 ms    0/ 5954 (0%) -9.538/-9.850/-2.259/ 0.282 ms  595 pps
7.00 Mbits/sec   0.144 ms    0/ 5954 (0%) -9.538/-9.827/-3.967/ 0.195 ms  595 pps
7.00 Mbits/sec   0.116 ms    0/ 5954 (0%) -9.545/-9.814/-4.770/ 0.215 ms  595 pps
8.00 Mbits/sec   0.135 ms    0/ 6804 (0%) -9.449/-9.808/ 0.580/ 0.521 ms  680 pps
7.00 Mbits/sec   0.105 ms    0/ 5954 (0%) -9.475/-9.799/-6.373/ 0.192 ms  595 pps
8.00 Mbits/sec   0.117 ms    0/ 6804 (0%) -9.488/-9.769/-2.797/ 0.218 ms  680 pps
11.0 Mbits/sec   0.164 ms    0/ 9355 (0%) -9.454/-9.765/-5.736/ 0.168 ms  935 pps
11.0 Mbits/sec   0.114 ms    0/ 9355 (0%) -9.435/-9.730/-4.541/ 0.196 ms  935 pps
10.0 Mbits/sec   0.112 ms    0/ 8505 (0%) -9.432/-9.737/-5.615/ 0.252 ms  850 pps
12.0 Mbits/sec   0.086 ms    0/10206 (0%) -9.397/-9.721/-0.273/ 0.403 ms 1020 pps
7.00 Mbits/sec   0.155 ms    0/ 5954 (0%) -9.404/-9.717/-6.931/ 0.188 ms  595 pps
8.00 Mbits/sec   0.138 ms    0/ 6804 (0%) -9.394/-9.703/-5.491/ 0.196 ms  680 pps
8.00 Mbits/sec   0.080 ms    0/ 6804 (0%) -9.408/-9.687/-4.812/ 0.183 ms  680 pps
9.00 Mbits/sec   0.153 ms    0/ 7654 (0%) -9.338/-9.668/-5.943/ 0.219 ms  765 pps
12.0 Mbits/sec   0.137 ms    0/10205 (0%) -9.353/-9.669/-2.801/ 0.233 ms 1020 pps
8.00 Mbits/sec   0.142 ms    0/ 6804 (0%) -9.271/-9.650/14.537/ 0.849 ms  680 pps
9.00 Mbits/sec   0.106 ms    0/ 7654 (0%) -9.309/-9.644/-3.960/ 0.252 ms  765 pps
8.00 Mbits/sec   0.078 ms    0/ 6804 (0%) -9.296/-9.620/-5.599/ 0.180 ms  680 pps
10.0 Mbits/sec   0.118 ms    0/ 8505 (0%) -9.272/-9.620/-3.078/ 0.206 ms  850 pps
